gid,date,div_number,motion_text,ayes,noes,colnum,time
uk.org.publicwhip/debate/2020-07-06c.776.0,2020-07-06,72,,207,330,776,21:00:00
uk.org.publicwhip/debate/2020-07-06c.781.0,2020-07-06,73,,200,338,781,21:00:00
uk.org.publicwhip/debate/2020-07-06e.776.0,2020-07-06,72,"This new clause seeks to ensure that certain provisions under the Immigration Acts – including exclusion from public funds, certain types of support and assistance and the right to rent – do not apply to survivors of domestic abuse. There will be a review into the operation of this provision.",207,330,776,21:00:00
uk.org.publicwhip/debate/2020-07-06e.781.0,2020-07-06,73,This new clause would establish a statutory duty on relevant public authorities to commission specialist support and services to all persons affected by domestic abuse. This includes refuge and community-based services; specialist services for groups with protected characteristics; services for children and young people; services for perpetrators.,200,338,781,21:00:00
uk.org.publicwhip/debate/2020-07-14a.1475.0,2020-07-14,76,,237,339,1475,18:16:00
uk.org.publicwhip/debate/2020-07-14b.1468.0,2020-07-14,74,,246,342,1468,17:45:00
uk.org.publicwhip/debate/2020-07-14c.1468.0,2020-07-14,74,,246,342,1468,17:45:00
uk.org.publicwhip/debate/2020-07-14c.1472.2,2020-07-14,75,This new clause seeks to protect representation in the devolved nations by securing a minimum number of constituencies in each of the devolved nations.,50,339,1472,18:16:00
uk.org.publicwhip/debate/2020-07-14c.1475.0,2020-07-14,76,This amendment aims to maintain the status quo of parliamentary oversight within the boundary review process.,237,339,1475,18:16:00
uk.org.publicwhip/debate/2020-07-15a.1625.1,2020-07-15,77,,57,321,1625,18:45:00
uk.org.publicwhip/debate/2020-07-15b.1625.1,2020-07-15,77,,57,321,1625,18:45:00
uk.org.publicwhip/debate/2020-07-20a.1939.2,2020-07-20,78,,263,326,1939,21:00:00
uk.org.publicwhip/debate/2020-07-20a.1944.2,2020-07-20,79,,251,337,1944,21:00:00
uk.org.publicwhip/debate/2020-07-20a.1949.0,2020-07-20,80,,251,340,1949,21:00:00
uk.org.publicwhip/debate/2020-07-20a.1959.0,2020-07-20,82,,335,243,1959,21:00:00
uk.org.publicwhip/debate/2020-07-20b.1939.2,2020-07-20,78,,263,326,1939,21:00:00
uk.org.publicwhip/debate/2020-07-20c.1939.2,2020-07-20,78,,263,326,1939,21:00:00
uk.org.publicwhip/debate/2020-07-20c.1944.2,2020-07-20,79,"This new clause would set a requirement for imported agricultural goods to meet animal health and welfare, environmental, plant health, food safety and other standards which are at least as high as those which apply to UK produced agricultural goods.",251,337,1944,21:00:00
uk.org.publicwhip/debate/2020-07-20c.1949.0,2020-07-20,80,"“ratchet” in relation to any provision in an agreement means any provision whereby a party, if (after the agreement has been ratified) it has unilaterally removed a barrier in an area where it had made a commitment before the agreement was ratified, may not reintroduce that barrier, and",251,340,1949,21:00:00
uk.org.publicwhip/debate/2020-07-20c.1954.2,2020-07-20,81,Member’s explanatory statement: This amendment would ensure that the consent of a devolved government is required for regulations under section 2(1) if those regulations contain matters which are within the remit of the devolved government.,244,345,1954,21:00:00
uk.org.publicwhip/debate/2020-07-20c.1959.0,2020-07-20,82,“(save that the powers conferred by this section are to be taken into account in determining whether a disclosure contravenes that legislation)”.—(Greg Hands.),335,243,1959,21:00:00
uk.org.publicwhip/debate/2020-07-21a.2097.2,2020-07-21,83,,189,335,2097,17:56:00
uk.org.publicwhip/debate/2020-07-21e.2097.2,2020-07-21,83,,189,335,2097,17:56:00
uk.org.publicwhip/debate/2020-09-01a.127.0,2020-09-01,84,,49,326,127,21:43:00
uk.org.publicwhip/debate/2020-09-01b.127.0,2020-09-01,84,,49,326,127,21:43:00
uk.org.publicwhip/debate/2020-09-02b.213.0,2020-09-02,85,,55,52,213,15:04:00
uk.org.publicwhip/debate/2020-09-07a.445.0,2020-09-07,86,,188,318,445,20:15:00
uk.org.publicwhip/debate/2020-09-07c.445.0,2020-09-07,86,,188,318,445,20:15:00
uk.org.publicwhip/debate/2020-09-08a.569.4,2020-09-08,87,,333,241,569,16:45:00
uk.org.publicwhip/debate/2020-09-08a.573.0,2020-09-08,88,,333,244,573,16:45:00
uk.org.publicwhip/debate/2020-09-08d.569.4,2020-09-08,87,"The Bill currently provides for the Secretary of State to designate the “designated authority” in regulations. This amendment instead provides, on the face of the Bill, that the National Crime Agency is the designated authority and confers a power on the Secretary of State to amend new section 74B to designate a different authority.",333,241,569,16:45:00
uk.org.publicwhip/debate/2020-09-08d.573.0,2020-09-08,88,This amendment leaves out a provision inserted in the Lords preventing regulations under new section 74B(7) adding more than one territory at a time to the list of territories in new Schedule A1.,333,244,573,16:45:00
uk.org.publicwhip/debate/2020-09-09a.680.1,2020-09-09,89,,249,329,680,15:52:00
uk.org.publicwhip/debate/2020-09-09a.731.3,2020-09-09,91,,237,327,731,18:51:00
uk.org.publicwhip/debate/2020-09-09d.731.3,2020-09-09,91,,237,327,731,18:51:00
uk.org.publicwhip/debate/2020-09-09f.680.1,2020-09-09,89,,249,329,680,15:52:00
uk.org.publicwhip/debate/2020-09-09f.684.0,2020-09-09,90,,320,9,684,15:52:00
uk.org.publicwhip/debate/2020-09-09f.731.3,2020-09-09,91,,237,327,731,18:51:00
uk.org.publicwhip/debate/2020-09-11a.891.3,2020-09-11,92,,0,76,891,
uk.org.publicwhip/debate/2020-09-14a.134.0,2020-09-14,94,,340,263,134,21:48:00
uk.org.publicwhip/debate/2020-09-14a.140.2,2020-09-14,95,,343,49,140,21:48:00
uk.org.publicwhip/debate/2020-09-14b.130.0,2020-09-14,93,,213,349,130,21:48:00
uk.org.publicwhip/debate/2020-09-14b.134.0,2020-09-14,94,,340,263,134,21:48:00
uk.org.publicwhip/debate/2020-09-14b.140.2,2020-09-14,95,(2) any administrative expenditure incurred by a Minister of the Crown or the Competition and Markets Authority by virtue of the Act.—(David Duguid.),343,49,140,21:48:00
uk.org.publicwhip/debate/2020-09-15b.274.0,2020-09-15,97,,195,356,274,17:45:00
uk.org.publicwhip/debate/2020-09-15c.270.1,2020-09-15,96,,51,351,270,17:45:00
uk.org.publicwhip/debate/2020-09-15c.274.0,2020-09-15,97,"(c) becomes necessary,",195,356,274,17:45:00
uk.org.publicwhip/debate/2020-09-16a.441.3,2020-09-16,98,,340,51,441,20:00:00
uk.org.publicwhip/debate/2020-09-16a.445.2,2020-09-16,99,,208,330,445,20:00:00
uk.org.publicwhip/debate/2020-09-16b.441.3,2020-09-16,98,,340,51,441,20:00:00
uk.org.publicwhip/debate/2020-09-16b.445.2,2020-09-16,99,The intention of this amendment is to provide a policy framework for the allocation of financial assistance.,208,330,445,20:00:00
uk.org.publicwhip/debate/2020-09-21a.755.0,2020-09-21,102,,332,257,755,22:59:00
uk.org.publicwhip/debate/2020-09-21a.760.0,2020-09-21,103,,338,254,760,22:59:00
uk.org.publicwhip/debate/2020-09-21d.746.2,2020-09-21,100,"This amendment is intended to provide a safeguard so that any actions with respect to Part 5 of the Bill must be consistent with relevant existing international and domestic law commitments, including the terms of the Withdrawal Agreement and its Ireland/Northern Ireland Protocol.",255,346,746,22:30:00
uk.org.publicwhip/debate/2020-09-21d.751.0,2020-09-21,101,,6,350,751,22:59:00
uk.org.publicwhip/debate/2020-09-21d.755.0,2020-09-21,102,This amendment would require Ministers to take into account the rule of law when making regulations about exit procedures for goods moving from Northern Ireland to Great Britain.,332,257,755,22:59:00
uk.org.publicwhip/debate/2020-09-21d.760.0,2020-09-21,103,See the explanatory statement for Amendment 64.,338,254,760,22:59:00
uk.org.publicwhip/debate/2020-09-22a.904.0,2020-09-22,104,"“(2A) The other provisions of this Act may not come into force (and in particular no additions may be made to Part 2 of Schedule 7A to the Government of Wales Act 2006 (specific reservations), Part 2 of Schedule 5 to the Scotland Act 1998 (specific reservations) or Schedule 2 to the Northern Ireland Act 1998 (excepted matters)) until the Prime Minister is satisfied that   resolutions have been passed in Senedd Cymru, the Scottish Parliament and the Northern Ireland Assembly in favour of those provisions coming into force.”—(Liz Saville Roberts.)",63,350,904,18:30:00
uk.org.publicwhip/debate/2020-09-23a.1051.4,2020-09-23,112,,331,77,1051,18:50:00
uk.org.publicwhip/debate/2020-09-23c.1051.4,2020-09-23,112,,331,77,1051,18:50:00
uk.org.publicwhip/debate/2020-09-23c.1088.3,2020-09-23,105,"
PUBLIC HEALTH
",337,6,1088,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1091.0,2020-09-23,106,"That the Health Protection (Coronavirus, Restrictions) (No. 2) (England) (Amendment) (No. 3) Regulations 2020 (S.I., 2020, No. 863), dated ",340,1,1091,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1094.0,2020-09-23,107,"That the Health Protection (Coronavirus, Wearing of Face Coverings in a Relevant Place) (England) (Amendment) (No. 2) Regulations 2020 (S.I., 2020, No. 882), dated ",335,6,1094,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1096.0,2020-09-23,108,"That the Health Protection (Coronavirus, Restrictions) (Blackburn with Darwen and Bradford) (Amendment) Regulations 2020 (S.I., 2020, No. 898), dated ",335,1,1096,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1099.0,2020-09-23,109,"That the Health Protection (Coronavirus, Wearing of Face Coverings in a Relevant Place and on Public Transport) (England) (Amendment) Regulations 2020 (S.I., 2020, No. 906), dated ",334,6,1099,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1102.0,2020-09-23,110,"That the Health Protection (Coronavirus) (Restrictions on Holding of Gatherings and Amendment) (England) Regulations 2020 (S.I., 2020, No. 907), dated ",332,5,1102,20:40:00
uk.org.publicwhip/debate/2020-09-23c.1104.0,2020-09-23,111,"That the Health Protection (Coronavirus, Restrictions) (Blackburn with Darwen and Bradford) (Amendment) (No. 2) Regulations 2020 (S.I., 2020, No. 930), dated ",332,1,1104,20:40:00
uk.org.publicwhip/debate/2020-09-29a.256.0,2020-09-29,113,,256,350,256,18:00:00
uk.org.publicwhip/debate/2020-09-29a.261.0,2020-09-29,114,,258,351,261,18:00:00
uk.org.publicwhip/debate/2020-09-29a.274.2,2020-09-29,116,,256,354,274,18:00:00
uk.org.publicwhip/debate/2020-09-29a.298.0,2020-09-29,117,,256,348,298,20:05:00
uk.org.publicwhip/debate/2020-09-29a.303.0,2020-09-29,118,,340,256,303,20:05:00
uk.org.publicwhip/debate/2020-09-29d.256.0,2020-09-29,113,"This new clause is intended to replace Clauses 42, 43 and 45 of the Bill, to require Ministers to respect the rule of law and uphold the independence of the courts and the practice of judicial review, and to require UK Ministers to implement the Withdrawal Agreement.",256,350,256,18:00:00
uk.org.publicwhip/debate/2020-09-29d.261.0,2020-09-29,114,"The intention of this new clause is to ensure that those seeking financial assistance for economic development, etc under this Act are obliged to undertake a climate and nature emergency impact statement to ensure public money is only granted to development consistent with climate, nature and environmental goals and targets.",258,351,261,18:00:00
uk.org.publicwhip/debate/2020-09-29d.266.0,2020-09-29,115,,264,342,266,18:00:00
